"id","name","fictionalLocation","start","end"
"/xray/scene/1","1. Studio Logo",NA,0,9000
"/xray/scene/2","2. Star Wars Crawl",NA,9000,102000
"/xray/scene/3","3. The First Order raids a village","Jakku",102000,573000
"/xray/scene/4","4. Poe is held captive by the First Order","Star Destroyer",573000,643000
"/xray/scene/5","5. Rey raids an aging Imperial Star Destroyer","Jakku",643000,1004000
"/xray/scene/6","6. Kylo Ren interrogates Poe","Star Destroyer",1004000,1084000
"/xray/scene/7","7. Unkar Plutt offers to buy BB-8","Jakku",1084000,1161000
"/xray/scene/8","8. Finn attempts to free Poe","Star Destroyer",1161000,1443000
"/xray/scene/9","9. Finn navigates through the desert","Jakku",1443000,1571000
"/xray/scene/10","10. Kylo Ren instructs General Hux to find the droid intact","Star Destroyer",1571000,1605000
"/xray/scene/11","11. Rey and Finn run from the First Order","Jakku",1605000,2199000
"/xray/scene/12","12. Kylo Ren is informed of the failed efforts to capture BB-8","Star Destroyer",2199000,2265000
"/xray/scene/13","13. Rey and Finn attempt to repair the ship","Millennium Falcon",2265000,2571000
"/xray/scene/14","14. Han Solo receives some unwanted visitors","Han's Freighter",2571000,2962000
"/xray/scene/15","15. Snoke gives Kylo Ren and General Hux new orders","Starkiller Base",2962000,3079000
"/xray/scene/16","16. Han tells Rey and Finn about Luke and the Jedi","Millennium Falcon",3079000,3299000
"/xray/scene/17","17. Han visits Maz Kanata for a favor","Takodana",3299000,3523000
"/xray/scene/18","18. ""I will finish what you started""","Starkiller Base",3523000,3587000
"/xray/scene/19","19. Maz tells Han to stop running","Takodana",3587000,3855000
"/xray/scene/20","20. The Force calls to Rey","Takodana",3855000,4116000
"/xray/scene/21","21. The First Order fires their superweapon","Multiple Locations",4116000,4306000
"/xray/scene/22","22. The First Order attacks Maz's Castle","Takodana",4306000,4855000
"/xray/scene/23","23. The Resistance debriefs after the attack","D'Qar",4855000,5135000
"/xray/scene/24","24. Kylo Ren interrogates Rey for Luke's location","Starkiller Base",5135000,5400000
"/xray/scene/25","25. Rey attempts to escape","Starkiller Base",5400000,5532000
"/xray/scene/26","26. The Resistance plans their attack","D'Qar",5532000,5704000
"/xray/scene/27","27. Solo, Finn, and Chewbacca land on Starkiller Base","Starkiller Base",5704000,5847000
"/xray/scene/28","28. Solo, Finn, and Chewbacca hold Captain Phasma hostage","Starkiller Base",5847000,5968000
"/xray/scene/29","29. The Ressitance begins their attack","Starkiller Base and D'Qar",5968000,6130000
"/xray/scene/30","30. Solo and Chewie set explosives around the base","Starkiller Base",6130000,6299000
"/xray/scene/31","31. Han Solo reaches out to Kylo Ren","Starkiller Base",6299000,6633000
"/xray/scene/32","32. Rey and Finn face Kylo Ren","Starkiller Base",6633000,6818000
"/xray/scene/33","33. The Resistance makes a final effort to destroy the base","Starkiller Base",6818000,6921000
"/xray/scene/34","34. The ways of the Force","Starkiller Base",6921000,7084000
"/xray/scene/35","35. The First Order flees the planet","Starkiller Base",7084000,7208000
"/xray/scene/36","36. R2-D2 returns to full power","D'Qar",7208000,7497000
"/xray/scene/37","37. Rey searches for Luke","Ahch-To",7497000,7626000
"/xray/scene/38","38. End Credits",NA,7626000,8284000
"/xray/scene/39","39. Secrets Of The Force Awakens: A Cinematic Journey",NA,8284000,12443000
"/xray/scene/40","40. Deleted Scenes",NA,12443000,12728000
"/xray/scene/41","41. The Story Awakens: The Table Read",NA,12728000,12976000
"/xray/scene/42","42. Crafting Creatures",NA,12976000,13555000
"/xray/scene/43","43. Building BB-8",NA,13555000,13924000
"/xray/scene/44","44. Blueprint Of A Battle: The Snow Fight",NA,13924000,14351000
"/xray/scene/45","45. ILM: The Visual Magic of the Force",NA,14351000,14830000
"/xray/scene/46","46. John Williams: The Seventh Symphony",NA,14830000,15247000
"/xray/scene/47","47. Force For Change",NA,15247000,15453000
